aoi,count,max,min,mean,sd,median
1,9,928.7,689.5,825.9,82.08755995886345,813.8
2,12,890.8,802.6,848.3666666666667,33.29256901344727,847.7
3,42,1162.8,587.1,811.1071428571429,124.68925744964939,815.55
