aoi,count,max,min,mean,sd,median
1,33,6317,1388,3545.121212121212,1484.908830483705,3061
2,24,11676,1998,5594.708333333333,2800.5524063650555,5539.5
3,18,26552,4951,12607.833333333334,6283.253159367835,11058.5
