aoi,count,max,min,mean,sd,median
1,21,192.8,26.68,84.47095238095238,42.298626680397305,86.21
2,9,225.9,35.41,105.90555555555555,62.607270566426855,89.22
3,18,380.4,63.41,136.8788888888889,77.57099699735332,108.35
