aoi,count,max,min,mean,sd,median
1,9,76.52,50.95,62.36555555555555,9.112794729268172,57.43
2,12,59.13,44.43,52.288333333333334,4.139657063823114,53.349999999999994
3,42,119.7,25.54,64.80119047619048,21.099738780302005,61.61
