aoi,count,max,min,mean,sd,median
1,9,158.4,142.8,149.76666666666668,5.272807601268986,150.8
2,12,152.8,147,150.51666666666668,1.6485990379345716,151
3,42,160.1,136,148.28095238095239,5.948446737009836,148.1
