aoi,count,max,min,mean,sd,median
1,33,425.3,229.1,318.25151515151515,51.452636723083266,312.6
2,24,433.7,242.9,343.2708333333333,57.18152239686513,344.55
3,18,504.5,323,434.5777777777778,56.59463241598671,439.95
