aoi,count,max,min,mean,sd,median
1,9,34240,10820,25592.222222222223,7254.845669926029,24590
2,12,33056,9471,20100.083333333332,10597.132411933928,18449
3,42,60785,12293,29378.47619047619,10877.089153382847,26267.5
