aoi,count,max,min,mean,sd,median
1,21,161,128.9,148.45238095238096,7.374796203802451,149.7
2,9,165.9,134.9,153.14444444444445,9.232701542765138,151.1
3,18,159.6,120.9,145.11666666666667,10.989098876506983,147.9
