aoi,count,max,min,mean,sd,median
1,21,1581,423.3,947.4095238095239,304.7216810546337,946.4
2,9,1571,595.2,1070.8333333333333,306.543324833538,1050
3,18,1690,710.3,1072.0277777777778,233.30085803416395,1054.5
