aoi,count,max,min,mean,sd,median
1,63,30636,549,8114.523809523809,6743.335895192505,5774
2,30,11676,1718,5465.133333333333,2525.168409997752,5014
3,18,25652,4953,12849.555555555555,6060.789874966524,12006.5
