artefact,count,max,min,mean,sd,median
Amud1,111,30636,549,8166.315315315315,6210.351666198478,5774
Amud2,75,26552,1388,6376.04,5067.448572893358,5114
Manot,63,60785,9471,27070.26984126984,10875.793911260218,25896
Qafzeh,27,168305,1378,37903.37037037037,36998.507046956685,26389
Quneitra,48,412713,8746,72488.75,68398.86679181355,56725
