artefact,count,max,min,mean,sd,median
Amud1,111,207.7,5.867,38.04222522522523,24.465807490783654,31.89
Amud2,75,98.7,10.6,33.922799999999995,20.30850544489686,28.01
Manot,63,119.7,25.54,62.06984126984127,18.213899202750266,57.02
Qafzeh,27,199.2,9.05,68.57888888888888,45.552324717619925,59.07
Quneitra,48,380.4,26.68,108.14291666666666,64.5953877201485,92.965
