aoi,count,max,min,mean,sd,median
1,33,38.32,10.6,22.73121212121212,7.212422771499774,21.04
2,24,56.48,12.51,30.098333333333333,12.147779065816271,28.245
3,18,98.7,27.01,59.54,23.2187239351449,51.41
