aoi,count,max,min,mean,sd,median
1,21,93414,8746,46069.19047619047,29058.463809394754,47146
2,9,173136,23897,71807.88888888889,54483.464407663276,45197
3,18,412713,25024,103652,93023.35885141967,69161.5
