artefact,count,max,min,mean,sd,median
Amud1,111,718,207.9,385.31081081081084,100.87718126635825,370
Amud2,75,504.5,229.1,354.176,71.29807972851003,348.8
Manot,63,1162.8,587.1,820.3174603174604,107.52550866097228,822.6
Qafzeh,27,1607,567,992.8666666666667,240.53212003645328,970.4
Quneitra,48,1690,423.3,1017.2833333333333,281.19946001380714,1008.5
