aoi,count,max,min,mean,sd,median
1,63,718,207.9,392.5206349206349,118.82999127070923,370
2,30,431.9,240.9,343.14666666666665,56.31821983210647,345
3,18,505.5,323.1,430.35,58.81384640891772,440.45
