aoi,count,max,min,mean,sd,median
1,63,82.46,5.867,35.21090476190476,18.015235307492706,32.85
2,30,56.51,12.49,29.547333333333334,11.232395554157513,27.490000000000002
3,18,207.7,25.91,62.11,41.2780452968574,51.21
