artefact,count,max,min,mean,sd,median
Amud1,111,170.5,122.7,153.41171171171172,8.875141368797138,154.9
Amud2,75,166.8,147.8,157.40666666666667,4.233787306296215,157.9
Manot,63,160.1,136,148.91904761904763,5.32380100518954,150.2
Qafzeh,27,156.6,135.3,148.62222222222223,4.8105919460909234,149.2
Quneitra,48,165.9,120.9,148.08125,9.469360585256906,150.05
